valid,1

"SPEC 2021 Tiny Result"

"Full Results Table"

Benchmark,"Base # Ranks ","Base Threads per Rank","Base Pmodel","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks ","Peak Threads per Rank","Peak Pmodel","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
505.lbm_t,128,1,MPI,740.699185,3.03767,0,S,,,,,,,,"ref iteration #1"
505.lbm_t,128,1,MPI,1350.896319,1.665561,1,S,,,,,,,,"ref iteration #2"
513.soma_t,128,1,MPI,927.411232,3.9896,1,S,,,,,,,,"ref iteration #1"
513.soma_t,128,1,MPI,912.758264,4.053647,0,S,,,,,,,,"ref iteration #2"
518.tealeaf_t,128,1,MPI,584.301285,2.823886,1,S,,,,,,,,"ref iteration #1"
518.tealeaf_t,128,1,MPI,563.464183,2.928314,0,S,,,,,,,,"ref iteration #2"
519.clvleaf_t,128,1,MPI,463.05323,3.563305,1,S,,,,,,,,"ref iteration #1"
519.clvleaf_t,128,1,MPI,462.712192,3.565932,0,S,,,,,,,,"ref iteration #2"
521.miniswp_t,128,1,MPI,801.445305,1.996393,1,S,,,,,,,,"ref iteration #1"
521.miniswp_t,128,1,MPI,800.978429,1.997557,0,S,,,,,,,,"ref iteration #2"
528.pot3d_t,128,1,MPI,711.613281,2.986172,0,S,,,,,,,,"ref iteration #1"
528.pot3d_t,128,1,MPI,711.760916,2.985553,1,S,,,,,,,,"ref iteration #2"
532.sph_exa_t,128,1,MPI,809.16033,2.409906,1,S,,,,,,,,"ref iteration #1"
532.sph_exa_t,128,1,MPI,807.588529,2.414596,0,S,,,,,,,,"ref iteration #2"
534.hpgmgfv_t,128,1,MPI,592.803704,1.982106,1,S,,,,,,,,"ref iteration #1"
534.hpgmgfv_t,128,1,MPI,575.330773,2.042303,0,S,,,,,,,,"ref iteration #2"
535.weather_t,128,1,MPI,648.295699,4.974582,1,S,,,,,,,,"ref iteration #1"
535.weather_t,128,1,MPI,643.243,5.013657,0,S,,,,,,,,"ref iteration #2"

"Selected Results Table"

Benchmark,"Base # Ranks ","Base Threads per Rank","Base Pmodel","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks ","Peak Threads per Rank","Peak Pmodel","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
505.lbm_t,128,1,MPI,1350.896319,1.665561,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
513.soma_t,128,1,MPI,927.411232,3.9896,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
518.tealeaf_t,128,1,MPI,584.301285,2.823886,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
519.clvleaf_t,128,1,MPI,463.05323,3.563305,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
521.miniswp_t,128,1,MPI,801.445305,1.996393,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
528.pot3d_t,128,1,MPI,711.760916,2.985553,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
532.sph_exa_t,128,1,MPI,809.16033,2.409906,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
534.hpgmgfv_t,128,1,MPI,592.803704,1.982106,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
535.weather_t,128,1,MPI,648.295699,4.974582,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"

SPEChpc2021_tny_base,2.76577,,,,2.76577
SPEChpc2021_tny_peak,"Not Run",,,,,,,,,,,"Not Run"

"Run number:",001
"runhpc command:","/home/br-spollard/SPEChpc/bin/harness/runhpc --rebuild --config=hpe_cpe_cray_8.cfg --ranks=128 --reportable --output_format=all --output_root=/home/br-spollard/tx2_spec_results/tiny/tiny_cray_128 --iterations=2 tiny"
"output root:",/home/br-spollard/tx2_spec_results/tiny/tiny_cray_128

"System Vendor:",Cray
"System Name:","Isambard 2: XC50 (ThunderX2)"
"Date tested:",Jul-2022
"hpc2021 License:",?
"Test sponsor:","University of Bristol"
"Tested by:","University of Bristol"
"Hardware avail:",May-2018
"Software avail:",Mar-2020


"Node Description: ThunderX2"

HARDWARE

"Number of nodes",8
"Uses of the node",Compute
Vendor,N/A
Model,N/A
"CPU Name","Marvell ThunderX2 CN9980"
"CPU(s) orderable",N/A
"Chips enabled",2
"Cores enabled",64
"Cores per chip",32
"Threads per core",4
"CPU Characteristics","Permanent turbo to 2.5 GHz"
"CPU MHz",2100
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","32 MB I+D on chip per chip"
,"0.5 MB shared / 64 cores"
"Other Cache",None
Memory,"256 GB (8 x 32 GB)"
"Disk Subsystem",--
"Other Hardware",None
"Accel Count",N/A
"Accel Model",N/A
"Accel Vendor",N/A
"Accel Type",N/A
"Accel Connection",N/A
"Accel ECC enabled",N/A
"Accel Description",N/A
Adapter,None
"Number of Adapters",0
"Slot Type",None
"Data Rate",None
"Ports Used",0
"Interconnect Type",None

SOFTWARE

"Accelerator Driver",--
Adapter,None
"Adapter Driver",None
"Adapter Firmware",None
"Operating System","SUSE Linux Enterprise Server 15 SP1"
,"Linux 4.12.14-197.7_5.0.99-cray_ari_s"
"Local File System",xfs
"Shared File System",None
"System State","Multi-user, run level 3"
"Other Software",None


"Interconnect Description: Cray Aries"

HARDWARE

Vendor,Cray
Model,N/A
"Switch Model",N/A
,N/A
"Number of Switches",N/A
"Number of Ports",N/A
"Data Rate","14 Gb/s"
Firmware,N/A
Topology,Dragonfly
"Primary Use","MPI Traffic"

SOFTWARE

,--


"BENCHMARK DETAILS"

"Type of System","Homogenous Cluster"
"Compute Nodes Used",8
"Total Chips",16
"Total Cores",512
"Total Threads",2048
"Total Memory","2 TB"
"Max. Peak Threads",--
Compiler,"HPE Cray Programming Environment (CPE),"
,"C/C++/Fortran: Cray clang version 11.0.4"
"MPI Library","HPE Cray Programming Environment (CPE),"
,"Cray-mvapich2 Version 2.3.6"
"Other MPI Info",--
"Other Software",--
"Base Parallel Model",MPI
"Base Ranks Run",128
"Base Threads Run",1
"Peak Parallel Models","Not Run"
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"Max. Peak Threads",--
"Min. Peak Threads",--

"Submit Notes"

"The config file option 'submit' was used."

"Compiler Version Notes"

==============================================================================
" FC  519.clvleaf_t(base) 528.pot3d_t(base) 535.weather_t(base)
"
------------------------------------------------------------------------------
"Cray Fortran : Version 11.0.4"
------------------------------------------------------------------------------

==============================================================================
" CC  505.lbm_t(base) 513.soma_t(base) 518.tealeaf_t(base) 521.miniswp_t(base)"
"      534.hpgmgfv_t(base)"
------------------------------------------------------------------------------
"Cray clang version 11.0.4  (bc9473a12d1f2f43cde01f962a11240263bd8908)"
"Target: aarch64-unknown-linux-gnu"
"Thread model: posix"
"InstalledDir: /opt/cray/pe/cce/11.0.4/cce-clang/aarch64/share/../bin"
------------------------------------------------------------------------------

==============================================================================
" CXXC 532.sph_exa_t(base)
"
------------------------------------------------------------------------------
"Cray clang version 11.0.4  (bc9473a12d1f2f43cde01f962a11240263bd8908)"
"Target: aarch64-unknown-linux-gnu"
"Thread model: posix"
"InstalledDir: /opt/cray/pe/cce/11.0.4/cce-clang/aarch64/share/../bin"
------------------------------------------------------------------------------

"Base Runtime Environment"
505.lbm_t," No flags used"
513.soma_t," No flags used"
518.tealeaf_t," No flags used"
519.clvleaf_t," No flags used"
521.miniswp_t," No flags used"
528.pot3d_t," No flags used"
532.sph_exa_t," No flags used"
534.hpgmgfv_t," No flags used"
535.weather_t," No flags used"

"Base Compiler Invocation"
505.lbm_t," cc"," cc"
513.soma_t," cc"," cc"
518.tealeaf_t," cc"," cc"
519.clvleaf_t," ftn"," ftn"
521.miniswp_t," cc"," cc"
528.pot3d_t," ftn"," ftn"
532.sph_exa_t," CC"," CC"
534.hpgmgfv_t," cc"," cc"
535.weather_t," ftn"," ftn"

"Base Portability Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Base Optimization Flags"
505.lbm_t," -Ofast"
513.soma_t," -Ofast"
518.tealeaf_t," -Ofast"
519.clvleaf_t," -Ofast"
521.miniswp_t," -Ofast"
528.pot3d_t," -Ofast"
532.sph_exa_t," -Ofast"
534.hpgmgfv_t," -Ofast"
535.weather_t," -Ofast"

"Base Other Flags"
505.lbm_t," No flags used"
513.soma_t," No flags used"
518.tealeaf_t," No flags used"
519.clvleaf_t," No flags used"
521.miniswp_t," No flags used"
528.pot3d_t," No flags used"
532.sph_exa_t," No flags used"
534.hpgmgfv_t," No flags used"
535.weather_t," No flags used"

"Base Forbidden Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Base Unknown Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Runtime Environment"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Compiler Invocation"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Portability Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Optimization Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

